Frequency,한국어,English
,청바지,blue jeans
,청소,cleaning 
,청소년,teenager
,체육관,gym
,체크무늬,checkered (clothes)
,쳐다보다,look at
,초,beginning 
,초,second 
,초대,invitation 
,초대장,invitation card
,초등학교,elementary school
,초등학생,elementary student
,초록색,green
,초콜릿,chocolate
,최고,"best, highest"
,최근,recent
,추다,dance 
,추석,Chuseok 
,축구,soccer 
,축구공,soccer ball
,축하,congrats
,출구,exit
,출근,go work
,출발,depart
,출석,attendance
,출입,access
,출입국,immigration
,출장,business trip 
,출퇴근,commute
,춤,dance 
,춤추다,to dance
,춥다,cold
,충분하다,enough
,취미,hobby
,취소,cancel
,취직,employment
,층,floor 
,치과,dentist
,치다,hit 
,치료,treatment
,치마,skirt 
,치약,toothpaste
,치킨,chicken
,친구,friend 
,친절,kindness
,친척,relative
,친하다,close
,칠,seven
,칠십,seventy
,칠월,July
,칠판,blackboard
,침대,bed 
,침실,bedroom
,칫솔,toothbrush
,칭찬,compliment
,카드,card
,카레,curry (food)
,카메라,camera
,카페,cafe
,칼,knife 
,칼국수,kalguksu
,캐나다,Canada
,커피,coffee
,커피숍,coffee shop
,컴퓨터,computer
,컵,cup
,케이크,cake
,켜다,turn on 
,켜다,turn on 
,켤레,pair 
,코,nose 
,코끼리,elephant
,콘서트,concert
,콜라,Cola
,콧물,"snot, nose run"
,콩,bean 
,크기,size
,크다,big 
,크리스마스,Christmas
,큰소리,loud 
,키,height
,키우다,raise
,킬로그램,kilogram
,킬로미터,kilometer
,타다,burn
,타다,"take, ride"
,타다,make
,탁구,ping-pong
,탕수육,tangsuyuk (food)
,태국,Thailand
,태권도,Taekwondo
,태극기,"Korean flag, taegeukgi"
,태도,attitude 
,태어나다,born
,태풍,typhoon
,택배,"parcel, delivery"
,택시,taxi
,터미널,terminal
,테니스,tennis
,테니스장,tennis court
,테이블,table
,텔레비전,television
,토끼,rabbit
,토마토,tomato
,토요일,Saturday
,통장,bankbook
,통화,call
,퇴근,leave work
,퇴원,"discharge, leave hospital"
,튀기다,fry 
,튀김,fried 
,트럭,truck
,특별하다,special
,특별히,especially
,특히,especially
,튼튼하다,strong
,틀다,turn on
,틀리다,wrong 
,티셔츠,t-shirt
,팀,team 
,파란색,blue color
,파랗다,blue
,파티,party
,팔,arm 
,팔,eight
,팔다,sell
,팔리다,"sell, be sold"
,팔십,eighty
,팔월,August
,펴다,unfold
,편리,convenience
,편안,"peace, comfort"
,편의점,convenience store
,편지,letter 
,편찮다,"unwell, sick"
,편하다,relaxing
,평소,usually
,평일,weekday
,포도,grape 
,포장,wrapping
,표,ticket
,푸르다,green
,푹,"good, well"
,풀다,solve
,풍경,landscape 
,프라이팬,frying pan
,프랑스,France 
,프로그램,program
,피,blood 
,피곤,tired
,피다,bloom 
,피아노,piano 
,피우다,bloom 
,피자,pizza
,필요,need
,필통,pencil case
,하나,one
,하늘,sky 
,하늘색,sky blue
,하다,do 
,-하다,be-
,하루,day 
,하숙비,lodging fee
,하숙집,boarding house
,하얀색,white color
,하얗다,white
,하지만,however
,학교,school
,학기,semester 
,학년,grade
,학생,student
,학생증,student ID
,학원,academy 
,한,one
,한가하다,"free, spare"
,한강,Han river 
,한국,Korea 
,한글,Hangul 
,한두,one or two
,한번,once
,한복,Hanbok
,한식,Korean food 
,한식집,Korean restaurant 
,한옥,Hanok house
,한잔,a drink
,한턱,a treat
,할머니,grandmother
,할아버지,grandfather
,할인,discount 
,함께,together
,항공,airline
,항공권,airline ticket
,항상,always
,해,sun
,해마다,every year
,해외,overseas
,해외여행,overseas travel
,햄버거,hamburger
,햇빛,sunshine
,행동,action
,행복,happiness 
,행사,event
,허리,waist 
,헤어지다,broke up
,헬스클럽,health club
,혀,tongue 
,현금,cash 
,현재,currently 
,형,brother 
,형제,"brother, sibling"
,호,"No. (number, issue)"
,호랑이,tiger
,호수,lake 
,호텔,hotel
,혹시,maybe 
,혼자,alone 
,홍차,black tea
,화,angry
,화가,painter 
,화나다,angry
,화내다,get angry
,화려하다,gorgeous
,화요일,Tuesday
,화장실,restroom
,화장품,cosmetics
,환영,welcome 
,환자,patient 
,환전,currency exchange 
,활발히,actively
,회,"episode, edition"
,회사,company 
,회사원,office worker
,회색,gray 
,회원,member
,회의,meeting 
,횡단보도,crosswalk
,후,after 
,후배,junior 
,훌륭하다,excellent
,훨씬,more
,휴가,vacation 
,휴게실,rest area
,휴대폰,cellphone
,휴일,dayoff
,휴지,tissue 
,휴지통,trash can
,흐르다,flow 
,흐리다,"cloudy, murky"
,흔들다,shake
,흘리다,"cry, shed"
,희망,hope
,흰색,white color
,힘,power 
,힘들다,"hard, tough"
